h,alpha,aic
10,0.6666666666666666,8.82433343076015
10,0.6923076923076923,8.824884599149517
10,0.717948717948718,8.827195569897984
10,0.7435897435897436,8.830391518099756
10,0.7692307692307692,8.83296780110193
10,0.7948717948717948,8.835404946119068
10,0.8205128205128205,8.83820057921897
10,0.8461538461538461,8.840388569955715
10,0.8717948717948718,8.841156017545506
10,0.8974358974358974,8.846917731861508
10,0.923076923076923,8.8479555440472
10,0.9487179487179487,8.849726827428922
10,0.9743589743589743,8.852865589981395
10,1.0,8.854819012798032
11,0.0,8.859787601920523
11,0.02564102564102564,8.86013132150794
11,0.05128205128205128,8.86316452337277
11,0.07692307692307693,8.866462792857751
11,0.10256410256410256,8.869332330053194
11,0.1282051282051282,8.874242760036601
11,0.15384615384615385,8.877691057841034
11,0.1794871794871795,8.88082402457163
11,0.20512820512820512,8.883678863430772
11,0.23076923076923075,8.886482094502128
11,0.2564102564102564,8.888747878098947
11,0.28205128205128205,8.893248618978943
11,0.3076923076923077,8.896133983080846
11,0.3333333333333333,8.897415278075188
11,0.358974358974359,8.902575348868066
11,0.3846153846153846,8.90652791196341
11,0.41025641025641024,8.906803047268852
11,0.4358974358974359,8.910585231526648
11,0.4615384615384615,8.912151768430435
11,0.48717948717948717,8.915221362014716
11,0.5128205128205128,8.918438507694505
11,0.5384615384615384,8.92096367103273
11,0.5641025641025641,8.922602644623076
11,0.5897435897435898,8.924577587923743
11,0.6153846153846154,8.926056402927339
11,0.641025641025641,8.929214362413484
11,0.6666666666666666,8.931627149271531
11,0.6923076923076923,8.93493936268281
11,0.717948717948718,8.937201883140272
11,0.7435897435897436,8.938752974292973
11,0.7692307692307692,8.940631545893993
11,0.7948717948717948,8.941861906326364
11,0.8205128205128205,8.94299871299469
11,0.8461538461538461,8.946518269334542
11,0.8717948717948718,8.94801738207926
11,0.8974358974358974,8.950414745391555
11,0.923076923076923,8.951335957792109
11,0.9487179487179487,8.954285443599984
11,0.9743589743589743,8.955630311907408
11,1.0,8.957182086627965
12,0.0,8.955340886896666
12,0.02564102564102564,8.955076901430637
12,0.05128205128205128,8.957377310096485
12,0.07692307692307693,8.960231600080801
12,0.10256410256410256,8.964606067204146
12,0.1282051282051282,8.966392689764348
12,0.15384615384615385,8.968925050393706
12,0.1794871794871795,8.971589981862484
12,0.20512820512820512,8.975124920752029
12,0.23076923076923075,8.977460754563083
12,0.2564102564102564,8.979464793832628
12,0.28205128205128205,8.982501954125173
12,0.3076923076923077,8.986310405079369
12,0.3333333333333333,8.988325884401892
12,0.358974358974359,8.991212719213035
12,0.3846153846153846,8.992015518709534
12,0.41025641025641024,8.993254863466829
12,0.4358974358974359,8.997472489663945
12,0.4615384615384615,8.999650772897713
12,0.48717948717948717,8.999206875433254
12,0.5128205128205128,9.002931800968295
12,0.5384615384615384,9.004695484216601
12,0.5641025641025641,9.005988939193138
12,0.5897435897435898,9.008734752955911
12,0.6153846153846154,9.01168424226214
12,0.641025641025641,9.013127561480317
12,0.6666666666666666,9.015450725578473
12,0.6923076923076923,9.015789047341931
12,0.717948717948718,9.016737466217336
12,0.7435897435897436,9.020495949500143
12,0.7692307692307692,9.022121242294807
12,0.7948717948717948,9.021405427553374
12,0.8205128205128205,9.024723094654647
12,0.8461538461538461,9.026071090164372
12,0.8717948717948718,9.026985805233423
12,0.8974358974358974,9.029425750950105
12,0.923076923076923,9.030359189485033
12,0.9487179487179487,9.033244406485766
12,0.9743589743589743,9.034793541206803
12,1.0,9.034282824148695
13,0.0,9.031821167188316
13,0.02564102564102564,9.032072434953205
13,0.05128205128205128,9.031622549542453
13,0.07692307692307693,9.036374461585222
13,0.10256410256410256,9.036967506159941
13,0.1282051282051282,9.03920257956451
13,0.15384615384615385,9.04087257249344
13,0.1794871794871795,9.041903840721558
13,0.20512820512820512,9.04748102167085
13,0.23076923076923075,9.04811791602655
13,0.2564102564102564,9.049658540430258
13,0.28205128205128205,9.052097771890466
13,0.3076923076923077,9.054916404681794
13,0.3333333333333333,9.055488960225057
13,0.358974358974359,9.057701791805043
13,0.3846153846153846,9.058468282581034
13,0.41025641025641024,9.061846453668377
13,0.4358974358974359,9.064114119136214
13,0.4615384615384615,9.066357943075069
13,0.48717948717948717,9.067745602464306
13,0.5128205128205128,9.069158195335008
13,0.5384615384615384,9.070650376303089
13,0.5641025641025641,9.071410253958334
13,0.5897435897435898,9.074803002532759
13,0.6153846153846154,9.075969427952083
13,0.641025641025641,9.077256805425804
13,0.6666666666666666,9.078230587357613
13,0.6923076923076923,9.082000083294059
13,0.717948717948718,9.082316690080923
13,0.7435897435897436,9.083886120281019
13,0.7692307692307692,9.08570960332685
13,0.7948717948717948,9.086694887142203
13,0.8205128205128205,9.087105662270929
13,0.8461538461538461,9.089187491425307
13,0.8717948717948718,9.090005898934528
13,0.8974358974358974,9.092646921254945
13,0.923076923076923,9.094855260279418
13,0.9487179487179487,9.093912693888779
13,0.9743589743589743,9.094993518171812
13,1.0,9.097011354880594
14,0.0,9.1011155195888
14,0.02564102564102564,9.101707915710973
14,0.05128205128205128,9.10190036185483
14,0.07692307692307693,9.103996891087094
14,0.10256410256410256,9.105662157745648
14,0.1282051282051282,9.107989586214815
14,0.15384615384615385,9.109949228757275
14,0.1794871794871795,9.111470813008962
14,0.20512820512820512,9.111289616761297
14,0.23076923076923075,9.114652495771068
14,0.2564102564102564,9.115210521234726
14,0.28205128205128205,9.117785030124061
14,0.3076923076923077,9.118917140293865
14,0.3333333333333333,9.123016440574736
14,0.358974358974359,9.121928058851644
14,0.3846153846153846,9.124481039165426
14,0.41025641025641024,9.125577161534514
14,0.4358974358974359,9.128663903728382
14,0.4615384615384615,9.128416608850713
14,0.48717948717948717,9.130613516127935
14,0.5128205128205128,9.130878861290826
14,0.5384615384615384,9.133285227593369
14,0.5641025641025641,9.133934418695778
14,0.5897435897435898,9.133417946226432
14,0.6153846153846154,9.137942614256762
14,0.641025641025641,9.136943045454808
14,0.6666666666666666,9.13878118397035
14,0.6923076923076923,9.142488709026555
14,0.717948717948718,9.142868251366297
14,0.7435897435897436,9.143954130705891
14,0.7692307692307692,9.143829625083232
14,0.7948717948717948,9.145706723136444
14,0.8205128205128205,9.147358125417435
14,0.8461538461538461,9.148419043244623
14,0.8717948717948718,9.14993217814062
14,0.8974358974358974,9.149632456051702
14,0.923076923076923,9.149962721169315
14,0.9487179487179487,9.153080144599576
14,0.9743589743589743,9.15405134974973
14,1.0,9.155900692776173
15,0.0,9.160161095241232
15,0.02564102564102564,9.161150311407429
15,0.05128205128205128,9.162814358327333
15,0.07692307692307693,9.162994247365706
15,0.10256410256410256,9.165302842084582
15,0.1282051282051282,9.166527723685949
15,0.15384615384615385,9.16912028586138
15,0.1794871794871795,9.169427979611292
15,0.20512820512820512,9.169900188867237
15,0.23076923076923075,9.171666429276591
15,0.2564102564102564,9.172945037484801
15,0.28205128205128205,9.174716925392346
15,0.3076923076923077,9.174807649576929
15,0.3333333333333333,9.176318195987259
15,0.358974358974359,9.17848758324648
15,0.3846153846153846,9.178763851089748
15,0.41025641025641024,9.180971094946226
15,0.4358974358974359,9.181989219860956
15,0.4615384615384615,9.184504809768429
15,0.48717948717948717,9.184495984389432
15,0.5128205128205128,9.184867724412218
15,0.5384615384615384,9.186209504693991
15,0.5641025641025641,9.187306268726148
15,0.5897435897435898,9.188994527135264
15,0.6153846153846154,9.189668369657564
15,0.641025641025641,9.191056285357512
15,0.6666666666666666,9.192980977201213
15,0.6923076923076923,9.193522230177644
15,0.717948717948718,9.193531229525473
15,0.7435897435897436,9.194836442331317
15,0.7692307692307692,9.197766610380258
15,0.7948717948717948,9.196645190103807
15,0.8205128205128205,9.196978936616603
15,0.8461538461538461,9.200243631497573
15,0.8717948717948718,9.199721865939248
15,0.8974358974358974,9.200698206437917
15,0.923076923076923,9.201836503386165
15,0.9487179487179487,9.201261361210998
15,0.9743589743589743,9.204034450342679
15,1.0,9.204049211650217
16,0.0,9.21123605484716
16,0.02564102564102564,9.209521430103765
16,0.05128205128205128,9.210261748456304
16,0.07692307692307693,9.210167752247346
16,0.10256410256410256,9.212545837750556
16,0.1282051282051282,9.214465874035659
16,0.15384615384615385,9.214958107414411
16,0.1794871794871795,9.214662662271692
16,0.20512820512820512,9.216662030405617
16,0.23076923076923075,9.218707501489174
16,0.2564102564102564,9.219946351787781
16,0.28205128205128205,9.217595855430503
16,0.3076923076923077,9.21926413222806
16,0.3333333333333333,9.22220138903969
16,0.358974358974359,9.222934424277883
16,0.3846153846153846,9.223926992952352
16,0.41025641025641024,9.224959122797474
